year,total_movies,count_passed
1894,1,0
1906,1,0
1912,1,0
1914,1,0
1915,2,0
1916,4,3
1917,5,3
1918,3,3
1919,2,1
1920,3,2
1921,4,2
1922,8,3
1923,5,0
1924,10,2
1925,9,0
1926,6,1
1927,12,3
1928,15,1
1929,8,3
1930,11,6
1931,26,14
1932,24,9
1933,21,14
1934,19,10
1935,12,5
1936,26,16
1937,22,9
1938,15,5
1939,33,14
1940,29,15
1941,26,12
1942,21,9
1943,26,15
1944,20,13
1945,25,17
1946,26,10
1947,23,11
1948,27,11
1949,24,13
1950,23,13
1951,19,12
1952,19,7
1953,38,18
1954,34,14
1955,39,23
1956,40,21
1957,38,13
1958,34,15
1959,35,19
1960,43,21
1961,39,23
1962,44,25
1963,43,22
1964,51,20
1965,40,19
1966,53,14
1967,48,23
1968,51,21
1969,39,14
1970,43,20
1971,57,26
1972,51,26
1973,58,27
1974,40,17
1975,40,23
1976,41,14
1977,48,25
1978,39,15
1979,44,18
1980,45,25
1981,61,29
1982,63,33
1983,51,23
1984,72,36
1985,84,42
1986,75,33
1987,82,48
1988,88,49
1989,78,39
1990,81,39
1991,92,49
1992,87,41
1993,105,53
1994,105,56
1995,119,67
1996,127,76
1997,115,64
1998,135,73
1999,133,75
2000,141,85
2001,168,101
2002,179,96
2003,162,96
2004,193,117
2005,203,124
2006,234,142
2007,248,153
2008,258,144
2009,328,180
2010,330,192
2011,357,218
2012,326,206
2013,387,253
2014,375,220
2015,315,190
2016,320,197
2017,267,178
2018,273,175
2019,267,180
2020,158,120
2021,181,121
2022,193,135
2023,156,104
2024,107,72
2025,25,16
